"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize","duration","websize_c"
"saipan","ladt","G'P","G","P","yes","no",2013-07-23,2013-08-01,"yes","no",71,9,1.78814709362096
"saipan","mtr","G'Q","G","Q","yes","no",2013-07-26,2013-07-29,"no","yes",34,3,-1.64049257848711
"saipan","mtr","G'R","G","R","yes","no",2013-07-26,2013-07-27,"no","yes",41,1,-0.991831018899096
"saipan","forb","G'S","G","S","yes","no",2013-07-27,2013-07-29,"no","yes",37,2,-1.3624947672351
"saipan","forb","G'T","G","T","yes","no",2013-07-27,2013-07-31,"no","no",51,4,-0.065171648059078
"saipan","forb","G'U","G","U","yes","no",2013-07-27,2013-07-29,"no","yes",55,2,0.305492100276929
"saipan","ladt","G'V","G","V","yes","no",2013-07-23,2013-07-24,"no","yes",50,1,-0.15783758514308
"saipan","ladt","G'W","G","W","no","no",2013-07-30,2013-07-31,"no","yes",43,1,-0.806499144731093
"saipan","ladt","G'X","G","X","no","no",2013-07-30,2013-07-31,"no","yes",59,1,0.676155848612937
"saipan","ladt","G'Y","G","Y","no","no",2013-07-30,2013-07-31,"no","yes",44,1,-0.713833207647091
"saipan","ladt","G'Z","G","Z","no","no",2013-07-30,2013-07-31,"no","yes",61,1,0.86148772278094
"saipan","ladt","H'A","H","A","no","no",2013-07-30,2013-07-31,"no","yes",55,1,0.305492100276929
"saipan","ladt","H'B","H","B","no","no",2013-07-30,2013-07-31,"no","yes",33,1,-1.73315851557111
"saipan","ladt","H'C","H","C","no","no",2013-07-30,2013-07-31,"no","yes",53,1,0.120160226108926
"saipan","ladt","H'D","H","D","no","no",2013-07-30,2013-08-02,"no","yes",46,3,-0.528501333479087
"saipan","ladt","H'E","H","E","no","no",2013-08-01,2013-08-02,"no","yes",55,1,0.305492100276929
"saipan","ladt","H'F","H","F","no","no",2013-08-01,2013-08-02,"no","yes",48,1,-0.343169459311084
"saipan","ladt","H'G","H","G","no","no",2013-08-01,2013-08-02,"no","yes",51,1,-0.065171648059078
"saipan","ladt","H'H","H","H","no","no",2013-08-01,2013-08-02,"no","yes",59,1,0.676155848612937
"saipan","ladt","H'I","H","I","no","no",2013-08-01,2013-08-03,"no","yes",57,2,0.490823974444933
"saipan","ladt","H'J","H","J","no","no",2013-08-01,2013-08-04,"no","yes",49,3,-0.250503522227082
"saipan","forb","H'K","H","K","no","no",2013-08-01,2013-08-02,"no","yes",52,1,0.0274942890249239
"saipan","forb","H'L","H","L","no","no",2013-08-01,2013-08-02,"no","yes",31,1,-1.91849038973911
"saipan","forb","H'M","H","M","no","no",2013-08-01,2013-08-02,"no","no",27,1,-2.28915413807512
"saipan","forb","H'N","H","N","no","no",2013-08-01,2013-08-03,"no","yes",51,2,-0.065171648059078
"saipan","forb","H'O","H","O","no","no",2013-08-01,2013-08-04,"no","yes",47,3,-0.435835396395085
"saipan","forb","H'P","H","P","no","no",2013-08-01,2013-08-05,"no","yes",62,4,0.954153659864942
"saipan","forb","H'Q","H","Q","no","yes",2013-08-01,2013-08-02,"no","no",55,1,0.305492100276929
"saipan","forb","H'R","H","R","no","yes",2013-08-01,2013-08-04,"no","yes",45,3,-0.621167270563089
"saipan","forb","H'S","H","S","no","yes",2013-08-01,2013-08-05,"no","no",49,4,-0.250503522227082
"saipan","forb","H'T","H","T","no","yes",2013-08-01,2013-08-06,"no","no",46,5,-0.528501333479087
"saipan","forb","H'U","H","U","no","yes",2013-08-01,2013-08-07,"yes","no",56,6,0.398158037360931
"saipan","ladt","H'V","H","V","no","yes",2013-07-30,2013-08-02,"no","yes",51,3,-0.065171648059078
"saipan","ladt","H'W","H","W","no","yes",2013-07-30,2013-08-02,"no","no",57,3,0.490823974444933
"saipan","ladt","H'X","H","X","no","yes",2013-07-30,2013-08-03,"no","yes",44,4,-0.713833207647091
"saipan","ladt","H'Y","H","Y","no","yes",2013-07-30,2013-08-06,"no","no",48,7,-0.343169459311084
"saipan","ladt","H'Z","H","Z","no","yes",2013-07-30,2013-08-06,"yes","yes",57,7,0.490823974444933
"saipan","ladt","I'A","I","A","no","yes",2013-07-30,2013-08-07,"yes","yes",49,8,-0.250503522227082
"saipan","ladt","I'B","I","B","no","yes",2013-08-01,2013-08-02,"no","yes",34,1,-1.64049257848711
"saipan","ladt","I'C","I","C","no","yes",2013-08-01,2013-08-04,"no","yes",41,3,-0.991831018899096
"saipan","ladt","I'D","I","D","no","yes",2013-08-01,2013-08-05,"no","yes",46,4,-0.528501333479087
"saipan","ladt","I'E","I","E","no","yes",2013-08-01,2013-08-06,"no","no",48,5,-0.343169459311084
"saipan","ladt","I'F","I","F","no","yes",2013-08-01,2013-08-07,"no","no",55,6,0.305492100276929
"saipan","ladt","I'G","I","G","no","yes",2013-08-01,2013-08-07,"no","no",66,6,1.32481740820095
"saipan","ladt","I'H","I","H","yes","no",2013-08-02,2013-08-04,"no","yes",51,2,-0.065171648059078
"saipan","ladt","I'I","I","I","yes","no",2013-08-03,2013-08-04,"no","yes",48,1,-0.343169459311084
"saipan","ladt","I'J","I","J","yes","no",2013-08-03,2013-08-05,"no","yes",51,2,-0.065171648059078
"saipan","forb","I'K","I","K","yes","no",2013-08-04,2013-08-05,"no","yes",42,1,-0.899165081815094
"saipan","forb","I'L","I","L","yes","no",2013-08-05,2013-08-06,"no","yes",54,1,0.212826163192928
"guam","anao","I'Q","I","Q","no","no",2013-08-07,2013-08-14,"yes","no",25,7,-2.47448601224313
"guam","anao","I'R","I","R","no","no",2013-08-07,2013-08-10,"no","no",34,3,-1.64049257848711
"guam","anao","I'S","I","S","no","no",2013-08-07,2013-08-14,"yes","no",57,7,0.490823974444933
"guam","anao","I'T","I","T","no","no",2013-08-07,2013-08-10,"no","no",63,3,1.04681959694894
"guam","anao","I'U","I","U","no","no",2013-08-07,2013-08-12,"no","no",32,5,-1.82582445265511
"guam","anao","I'V","I","V","no","no",2013-08-07,2013-08-12,"no","no",70,5,1.69548115653696
"guam","anao","I'W","I","W","no","yes",2013-08-07,2013-08-12,"no","no",48,5,-0.343169459311084
"guam","anao","I'X","I","X","no","yes",2013-08-07,2013-08-10,"no","yes",49,3,-0.250503522227082
"guam","anao","I'Y","I","Y","no","yes",2013-08-07,2013-08-11,"no","no",47,4,-0.435835396395085
"guam","anao","I'Z","I","Z","no","yes",2013-08-07,2013-08-14,"yes","no",48,7,-0.343169459311084
"guam","anao","J'A","J","A","no","yes",2013-08-07,2013-08-10,"no","no",51,3,-0.065171648059078
"guam","anao","J'B","J","B","no","yes",2013-08-07,2013-08-10,"no","no",42,3,-0.899165081815094
"guam","anao","J'C","J","C","no","no",2013-08-07,2013-08-10,"no","no",38,3,-1.2698288301511
"guam","nbla","J'D","J","D","no","no",2013-08-07,2013-08-11,"no","yes",37,4,-1.3624947672351
"guam","nbla","J'E","J","E","no","no",2013-08-07,2013-08-12,"no","no",76,5,2.25147677904097
"guam","nbla","J'F","J","F","no","no",2013-08-07,2013-08-14,"yes","no",56,7,0.398158037360931
"guam","nbla","J'G","J","G","no","no",2013-08-07,2013-08-14,"yes","no",67,7,1.41748334528495
"guam","nbla","J'H","J","H","no","no",2013-08-07,2013-08-10,"no","no",59,3,0.676155848612937
"guam","nbla","J'I","J","I","no","yes",2013-08-07,2013-08-12,"no","no",73,5,1.97347896778896
"guam","nbla","J'J","J","J","no","yes",2013-08-07,2013-08-11,"no","no",60,4,0.768821785696939
"guam","nbla","J'K","J","K","no","yes",2013-08-07,2013-08-14,"yes","no",63,7,1.04681959694894
"guam","nbla","J'L","J","L","no","yes",2013-08-07,2013-08-12,"no","no",53,5,0.120160226108926
"guam","nbla","J'M","J","M","no","yes",2013-08-07,2013-08-10,"no","yes",61,3,0.86148772278094
"guam","nbla","J'N","J","N","no","yes",2013-08-07,2013-08-12,"no","no",48,5,-0.343169459311084
"guam","nbla","J'O","J","O","no","yes",2013-08-07,2013-08-11,"no","no",71,4,1.78814709362096
"guam","nbla","Z'","Z","","yes","no",2013-06-24,2013-07-01,"yes","yes",47,7,-0.435835396395085
"guam","nbla","A'A","A","A","yes","no",2013-06-24,2013-06-29,"yes","yes",77,5,2.34414271612497
"guam","nbla","A'B","A","B","yes","no",2013-06-24,2013-06-29,"yes","yes",47,5,-0.435835396395085
"guam","nbla","A'C","A","C","yes","no",2013-06-24,2013-06-28,"yes","yes",62,4,0.954153659864942
"guam","nbla","A'D","A","D","yes","no",2013-06-24,2013-06-30,"yes","yes",58,6,0.583489911528935
"guam","nbla","A'E","A","E","yes","no",2013-06-24,2013-07-01,"no","no",56,7,0.398158037360931
"guam","nbla","A'F","A","F","yes","no",2013-06-24,2013-06-28,"no","no",67,4,1.41748334528495
"guam","nbla","A'G","A","G","yes","no",2013-06-24,2013-06-29,"yes","yes",51,5,-0.065171648059078
"guam","nbla","A'H","A","H","yes","no",2013-06-24,2013-06-26,"no","no",43,2,-0.806499144731093
"guam","nbla","A'I","A","I","yes","no",2013-06-24,2013-06-28,"no","no",66,4,1.32481740820095
"guam","nbla","A'J","A","J","yes","no",2013-06-24,2013-06-30,"no","no",58,6,0.583489911528935
"guam","nbla","A'K","A","K","yes","no",2013-06-24,2013-06-29,"no","no",39,5,-1.1771628930671
"guam","nbla","A'L","A","L","yes","no",2013-06-24,2013-06-30,"no","no",56,6,0.398158037360931
"guam","nbla","A'M","A","M","yes","no",2013-06-24,2013-06-28,"no","yes",54,4,0.212826163192928
"guam","nbla","A'N","A","N","yes","no",2013-06-24,2013-06-27,"no","yes",53,3,0.120160226108926
"guam","nbla","A'O","A","O","yes","no",2013-06-24,2013-06-30,"no","no",70,6,1.69548115653696
"guam","nbla","A'P","A","P","yes","no",2013-06-24,2013-06-25,"no","no",58,1,0.583489911528935
